"V2","V160A","V160B","V160C","V160D","V160E","V160F","V160G","V160H","V160I","V160J","V240","V242"
12,4,4,4,2,2,4,1,4,3,-1,1,60
12,2,2,2,2,3,4,3,4,1,1,2,62
12,2,2,2,2,3,4,4,3,4,1,1,34
12,2,2,2,2,3,4,3,4,1,1,2,20
12,2,2,2,2,2,2,3,3,3,3,2,25
12,4,4,3,4,-1,4,3,4,4,4,2,34
12,2,2,2,2,3,4,3,4,1,1,1,38
12,2,2,2,2,2,2,3,3,3,3,2,39
12,1,1,1,4,4,4,1,4,5,4,1,40
12,2,2,2,2,3,4,3,4,1,1,1,40
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,44
12,1,1,3,4,3,3,-1,-1,-1,-1,1,60
12,-1,-1,-1,-1,-1,3,-1,-1,3,-1,1,70
12,3,3,3,3,3,4,4,4,3,4,1,19
12,3,3,3,4,3,4,2,4,3,3,2,22
12,5,4,1,2,4,5,1,5,3,4,2,32
12,4,4,4,2,2,2,2,4,4,4,1,32
12,4,4,3,3,2,3,2,4,3,3,1,32
12,4,4,2,4,-1,4,2,4,2,4,2,38
12,5,2,1,3,2,4,2,5,2,4,1,41
12,4,4,2,4,4,5,-1,5,2,-1,2,45
12,4,4,2,4,2,2,5,4,2,4,1,55
12,5,5,1,5,2,5,5,2,2,-1,2,66
12,3,3,3,4,3,4,2,4,3,3,1,19
12,4,4,4,2,2,2,2,4,4,4,1,22
12,3,3,2,4,4,4,3,4,5,5,2,23
12,4,4,4,4,4,5,3,4,2,4,2,28
12,5,4,1,2,4,5,1,5,3,4,2,33
12,4,4,3,3,2,3,2,4,3,3,1,38
12,4,4,2,4,2,5,2,4,2,3,2,43
12,5,2,1,3,2,4,2,5,2,4,1,44
12,5,5,1,5,2,4,1,4,2,2,1,58
12,5,3,2,4,2,5,2,4,2,3,2,60
12,3,2,3,2,3,2,1,1,2,4,2,23
12,-1,2,2,1,3,4,4,3,2,3,1,25
12,-1,2,2,3,3,2,1,2,2,1,2,27
12,3,2,4,3,2,3,3,4,3,2,1,29
12,1,1,2,1,5,5,2,5,5,5,2,37
12,3,2,3,2,3,2,2,1,2,4,1,40
12,5,5,1,3,3,5,5,3,3,3,1,41
12,3,4,4,3,5,2,5,4,3,2,2,41
12,-1,5,4,4,4,3,2,3,3,4,1,53
12,5,5,1,4,4,5,1,5,3,3,2,63
12,4,2,4,5,1,4,5,4,2,5,2,20
12,4,2,4,5,1,4,5,4,2,5,2,22
12,-1,4,1,2,4,4,1,4,5,4,1,28
12,5,4,1,4,1,5,4,5,1,-1,2,30
12,2,2,1,5,2,5,-1,4,4,4,1,30
12,5,4,1,4,5,5,5,5,4,5,1,31
12,4,4,1,4,5,4,4,4,2,4,2,47
12,5,2,1,4,-1,4,4,4,5,-1,1,49
12,3,4,4,3,5,4,4,4,5,4,2,52
12,5,2,3,4,-1,-1,1,5,4,5,1,72
12,1,5,5,1,5,5,1,1,1,5,1,19
12,1,5,5,5,5,5,5,5,1,1,2,19
12,5,4,1,5,1,1,5,5,1,1,2,24
12,5,2,2,5,3,4,4,4,1,5,2,31
12,5,1,1,5,4,5,5,5,1,4,1,33
12,5,1,1,5,1,5,5,5,1,1,2,40
12,5,2,1,5,1,5,5,5,5,5,1,45
12,5,2,2,5,2,5,5,5,1,2,1,73
12,1,1,2,1,1,5,1,1,5,2,1,20
12,2,2,1,1,5,5,5,5,5,5,2,50
12,3,2,2,3,2,5,3,5,5,1,1,18
12,1,1,5,1,1,5,1,2,5,1,2,18
12,1,5,5,5,5,5,1,1,1,5,2,19
12,1,5,5,5,5,5,1,1,1,5,2,21
12,5,1,1,1,4,5,5,5,1,5,2,31
12,5,2,2,5,3,5,5,5,1,1,1,33
12,5,5,2,4,4,4,1,5,1,3,2,41
12,5,5,1,5,1,5,5,1,1,5,1,44
12,5,5,1,1,4,4,5,5,5,5,2,50
12,5,1,1,5,1,5,5,5,1,1,1,71
12,4,4,1,5,4,5,4,5,2,4,1,22
12,5,4,1,5,4,4,4,5,2,4,1,22
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,23
12,4,2,2,5,2,4,4,5,1,4,1,24
12,5,5,1,4,5,5,4,5,5,4,1,26
12,2,4,4,4,-1,5,4,4,4,5,1,26
12,4,5,1,4,3,4,2,5,2,4,2,45
12,5,3,2,3,2,5,3,5,3,3,2,52
12,5,5,1,5,3,5,3,4,4,2,2,52
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,55
12,2,2,4,4,1,4,5,3,3,3,2,24
12,3,3,2,2,5,5,2,5,5,3,1,24
12,2,5,4,4,3,4,5,3,1,2,1,29
12,5,5,5,3,3,5,1,5,2,2,2,34
12,5,4,1,5,5,5,3,5,3,3,1,42
12,1,1,3,3,-1,-1,-1,5,5,-1,1,44
12,5,4,1,5,3,5,5,5,5,4,1,49
12,5,5,1,5,5,5,5,5,5,5,1,58
12,5,3,3,5,5,3,5,5,1,3,2,73
12,5,5,1,5,5,5,3,5,3,4,2,23
12,1,2,1,4,-1,-1,-1,5,2,-1,2,19
12,4,2,1,4,-1,-1,3,5,2,-1,1,19
12,4,2,1,4,2,-1,4,5,1,-1,1,23
12,5,5,1,4,2,4,5,5,2,4,2,24
12,5,2,1,5,3,4,3,5,2,3,2,32
12,1,2,2,4,-1,-1,4,5,4,4,1,34
12,1,1,2,4,-1,3,4,5,4,-1,2,46
12,2,3,1,2,-1,-1,-1,5,1,3,1,49
12,1,2,1,4,2,-1,4,5,2,-1,2,50
12,1,2,1,4,-1,-1,-1,5,4,3,1,74
12,5,4,1,4,3,4,2,5,1,4,1,20
12,5,2,1,4,1,4,3,5,4,3,2,20
12,5,1,1,3,2,4,3,4,4,3,2,21
12,4,2,1,4,1,3,1,5,2,2,1,24
12,5,3,1,3,2,2,3,5,2,3,2,34
12,5,1,1,4,1,3,1,5,3,3,1,38
12,4,2,1,4,3,-1,2,5,2,-1,2,44
12,5,3,1,3,2,3,-1,5,2,3,2,49
12,4,2,1,3,1,-1,4,5,4,-1,2,59
12,5,3,1,4,3,3,-1,5,3,2,1,60
12,2,3,1,4,1,2,2,5,4,2,2,20
12,2,3,1,4,2,3,4,5,2,3,1,21
12,2,3,1,4,2,4,5,5,2,3,2,23
12,2,3,1,4,4,3,5,5,1,3,1,32
12,2,1,2,4,3,3,4,5,2,3,2,37
12,1,3,2,4,2,4,5,5,2,4,1,45
12,2,3,1,4,3,-1,2,4,1,3,2,61
12,2,2,1,4,2,3,4,5,2,3,1,64
12,2,3,1,4,2,3,2,5,2,3,2,48
12,1,2,3,4,2,3,4,5,4,5,1,24
12,2,3,1,3,4,4,3,5,2,4,2,20
12,3,2,1,3,1,3,4,5,2,-1,1,22
12,2,3,2,4,3,5,-1,5,2,-1,2,23
12,2,3,2,4,1,3,4,5,5,3,1,24
12,2,3,1,3,2,4,1,5,3,2,2,34
12,2,3,1,1,2,4,5,5,3,4,1,39
12,-1,3,1,4,1,3,5,4,3,5,1,44
12,3,2,5,2,4,5,3,5,4,-1,2,48
12,-1,3,1,5,1,4,4,5,4,-1,2,59
12,-1,4,5,4,-1,-1,5,2,4,3,1,73
12,2,3,1,3,2,4,5,5,3,2,2,18
12,3,4,2,5,1,3,5,4,2,-1,1,19
12,2,3,1,4,2,3,5,5,3,-1,2,22
12,1,3,4,5,2,3,4,5,3,-1,1,24
12,2,3,1,4,2,4,5,5,3,4,1,35
12,3,2,4,5,1,3,4,4,2,1,2,38
12,1,3,2,4,1,3,4,5,2,-1,2,42
12,2,3,5,2,1,3,1,3,4,3,2,52
12,2,3,1,3,1,1,4,4,5,2,1,66
12,2,1,3,1,2,4,5,5,3,-1,1,46
12,2,1,1,5,4,5,3,5,3,4,1,19
12,4,4,2,2,2,5,4,5,5,4,2,22
12,5,1,4,4,4,4,2,5,2,4,1,23
12,1,2,1,3,4,2,3,5,4,5,1,25
12,5,5,1,5,1,5,1,5,1,-1,1,31
12,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,2,39
12,5,3,3,1,4,5,3,4,5,4,2,42
12,2,2,2,2,4,4,4,4,5,5,1,43
12,2,3,4,4,2,5,4,4,5,4,2,53
12,3,1,1,3,1,4,1,5,3,3,1,62
12,3,2,2,3,2,2,4,3,2,2,2,23
12,4,4,2,1,3,4,4,4,4,5,1,26
12,3,2,2,2,2,4,4,4,5,2,2,27
12,2,2,3,3,1,3,1,5,5,-1,1,29
12,-1,5,3,1,4,4,3,4,5,4,1,30
12,4,4,2,3,2,5,5,5,5,5,2,30
12,3,3,5,5,1,2,5,4,4,4,2,40
12,5,4,1,5,4,5,3,5,4,4,1,43
12,5,2,1,4,5,5,3,4,5,5,1,59
12,-1,4,1,1,1,5,2,5,2,5,2,62
12,1,4,1,4,4,5,2,5,5,5,2,21
12,5,4,3,2,-1,5,5,4,4,-1,2,22
12,4,4,4,5,1,4,2,2,5,4,1,28
12,-1,4,2,2,1,4,5,4,5,4,1,29
12,-1,5,4,3,4,4,4,3,2,2,2,33
12,5,5,1,4,5,4,3,4,3,5,1,37
12,-1,2,1,2,1,5,2,4,5,-1,2,42
12,5,4,1,3,4,4,3,5,5,4,1,46
12,5,4,4,2,5,4,3,5,5,2,1,51
12,4,4,1,3,4,5,2,5,3,4,2,60
12,5,4,3,1,1,5,4,5,1,4,2,24
12,5,5,3,3,1,5,5,3,5,5,1,25
12,3,-1,4,2,4,4,5,5,5,4,1,25
12,4,4,2,4,5,5,4,4,4,5,2,28
12,1,2,2,3,2,3,4,3,4,5,2,32
12,4,4,1,5,1,5,3,4,2,3,1,32
12,5,-1,-1,2,-1,2,1,5,1,2,2,45
12,4,4,3,2,2,2,4,4,3,2,1,45
12,5,4,1,2,1,4,4,5,4,3,1,60
12,5,4,1,4,1,5,3,5,4,1,2,60
12,4,4,2,2,4,1,1,5,4,5,2,18
12,3,2,3,2,2,5,5,5,3,3,2,22
12,4,5,2,4,3,5,3,4,3,4,2,28
12,1,1,1,5,1,5,1,5,5,1,1,30
12,1,3,1,1,5,4,4,5,5,5,1,32
12,4,3,1,4,4,4,1,5,4,4,2,36
12,5,5,1,4,1,5,3,5,2,4,2,44
12,5,5,1,4,2,4,4,5,4,4,1,48
12,4,5,1,5,4,5,1,5,4,4,1,53
12,5,2,1,4,1,5,1,5,2,2,2,65
12,3,2,1,5,2,2,1,3,4,5,2,23
12,4,2,1,4,5,5,2,4,2,4,1,23
12,5,1,4,4,4,4,2,5,5,5,2,27
12,1,1,1,1,1,5,2,5,5,3,1,29
12,4,4,2,1,4,4,3,5,4,4,2,32
12,4,5,2,1,1,4,5,4,5,5,1,34
12,4,5,2,2,4,5,2,5,5,5,1,41
12,5,4,2,2,1,5,2,4,4,4,2,47
12,-1,5,4,5,4,3,2,3,4,3,2,58
12,3,2,1,5,2,2,1,5,2,4,1,62
12,2,2,2,2,4,3,3,5,3,5,2,20
12,3,3,4,3,3,5,3,5,3,5,2,24
12,2,2,4,4,5,5,2,5,2,5,2,24
12,4,2,2,2,4,4,4,4,4,4,1,38
12,3,3,3,3,3,3,3,3,3,3,2,38
12,4,4,3,3,3,5,2,5,3,5,1,41
12,3,3,3,3,3,3,3,3,3,3,2,46
12,3,3,3,5,3,3,1,3,1,3,2,48
12,5,5,1,5,3,5,3,4,4,4,1,55
12,5,3,1,4,2,5,1,5,2,5,2,68
12,3,2,2,2,4,5,5,5,4,3,1,18
12,4,4,4,4,3,3,4,3,5,2,1,21
12,4,2,2,5,4,4,1,5,3,5,2,23
12,2,3,2,4,4,3,5,5,4,3,2,23
12,4,2,2,2,3,4,1,5,4,4,1,31
12,1,3,2,4,3,4,2,5,4,3,2,33
12,4,1,1,3,4,5,1,5,4,4,2,40
12,5,1,1,1,1,3,4,3,3,3,1,45
12,-1,1,1,2,1,3,1,5,5,4,1,56
12,5,2,1,1,1,3,4,4,2,2,2,68
12,4,2,4,3,4,5,5,4,4,3,1,19
12,-1,2,2,2,4,3,3,3,4,4,2,20
12,4,3,3,4,4,4,3,3,4,5,1,21
12,3,1,1,4,3,4,4,5,4,4,2,23
12,4,2,1,3,2,2,3,5,4,2,2,32
12,4,2,4,3,2,4,5,5,4,3,1,35
12,2,4,2,3,4,4,2,4,4,-1,1,48
12,4,3,1,3,1,4,3,3,2,2,2,61
12,-1,2,5,3,4,5,1,4,5,-1,2,40
12,1,1,1,3,2,5,1,3,3,3,1,60
12,5,-1,4,3,5,5,2,5,4,4,2,18
12,-1,1,2,2,2,4,3,4,4,3,1,20
12,1,2,1,2,2,3,1,4,4,3,1,24
12,4,2,5,5,1,4,3,3,5,2,1,30
12,3,2,1,3,2,4,1,4,4,4,2,35
12,2,2,1,2,1,5,1,5,3,3,1,42
12,2,1,1,3,2,4,1,5,1,5,2,47
12,4,2,1,2,1,3,1,5,3,3,1,54
12,2,1,1,1,1,4,2,5,4,1,1,60
12,1,2,4,4,2,3,3,4,2,2,2,23
12,3,3,3,3,3,3,3,2,3,2,1,22
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,29
12,5,5,2,4,5,5,4,5,3,4,2,30
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,31
12,4,3,2,2,2,5,4,3,5,5,2,44
12,5,3,2,2,2,4,3,5,5,5,2,45
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,48
12,5,5,1,3,4,5,2,5,1,5,2,55
12,-1,-1,-1,-1,-1,1,-1,-1,2,-1,1,67
12,1,2,1,2,1,4,4,4,1,2,2,80
12,5,5,3,5,5,5,5,2,5,3,2,18
12,5,5,1,5,5,5,2,4,4,5,2,20
